tau_stab,tau_var,accuracy
0.5,0.0,0.5833333333333334
0.5,0.05,0.4166666666666667
0.5,0.1,0.4166666666666667
0.5,0.15,0.4166666666666667
0.5,0.2,0.4166666666666667
0.5,0.25,0.4166666666666667
0.5,0.3,0.4166666666666667
0.5,0.35,0.4166666666666667
0.5,0.4,0.4166666666666667
0.5,0.45,0.5
0.5,0.5,0.5
0.5,0.55,0.5
0.5,0.6,0.5
0.55,0.0,0.5833333333333334
0.55,0.05,0.4166666666666667
0.55,0.1,0.4166666666666667
0.55,0.15,0.4166666666666667
0.55,0.2,0.4166666666666667
0.55,0.25,0.4166666666666667
0.55,0.3,0.4166666666666667
0.55,0.35,0.4166666666666667
0.55,0.4,0.4166666666666667
0.55,0.45,0.5
0.55,0.5,0.5
0.55,0.55,0.5
0.55,0.6,0.5
0.6,0.0,0.6666666666666666
0.6,0.05,0.5
0.6,0.1,0.5
0.6,0.15,0.5
0.6,0.2,0.5
0.6,0.25,0.5
0.6,0.3,0.5
0.6,0.35,0.5
0.6,0.4,0.5
0.6,0.45,0.5833333333333334
0.6,0.5,0.5833333333333334
0.6,0.55,0.5833333333333334
0.6,0.6,0.5833333333333334
0.65,0.0,0.6666666666666666
0.65,0.05,0.5
0.65,0.1,0.5
0.65,0.15,0.5
0.65,0.2,0.5
0.65,0.25,0.5
0.65,0.3,0.5
0.65,0.35,0.5
0.65,0.4,0.5
0.65,0.45,0.5833333333333334
0.65,0.5,0.5833333333333334
0.65,0.55,0.5833333333333334
0.65,0.6,0.5833333333333334
0.7,0.0,0.6666666666666666
0.7,0.05,0.5
0.7,0.1,0.5
0.7,0.15,0.5
0.7,0.2,0.5
0.7,0.25,0.5
0.7,0.3,0.5
0.7,0.35,0.5
0.7,0.4,0.5
0.7,0.45,0.5833333333333334
0.7,0.5,0.5833333333333334
0.7,0.55,0.5833333333333334
0.7,0.6,0.5833333333333334
0.75,0.0,0.5833333333333334
0.75,0.05,0.4166666666666667
0.75,0.1,0.4166666666666667
0.75,0.15,0.4166666666666667
0.75,0.2,0.4166666666666667
0.75,0.25,0.4166666666666667
0.75,0.3,0.4166666666666667
0.75,0.35,0.4166666666666667
0.75,0.4,0.4166666666666667
0.75,0.45,0.5
0.75,0.5,0.5
0.75,0.55,0.5
0.75,0.6,0.5
0.8,0.0,0.5833333333333334
0.8,0.05,0.4166666666666667
0.8,0.1,0.4166666666666667
0.8,0.15,0.4166666666666667
0.8,0.2,0.4166666666666667
0.8,0.25,0.4166666666666667
0.8,0.3,0.4166666666666667
0.8,0.35,0.4166666666666667
0.8,0.4,0.4166666666666667
0.8,0.45,0.5
0.8,0.5,0.5
0.8,0.55,0.5
0.8,0.6,0.5
0.85,0.0,0.5833333333333334
0.85,0.05,0.4166666666666667
0.85,0.1,0.4166666666666667
0.85,0.15,0.4166666666666667
0.85,0.2,0.4166666666666667
0.85,0.25,0.4166666666666667
0.85,0.3,0.4166666666666667
0.85,0.35,0.4166666666666667
0.85,0.4,0.4166666666666667
0.85,0.45,0.5
0.85,0.5,0.5
0.85,0.55,0.5
0.85,0.6,0.5
0.9,0.0,0.5833333333333334
0.9,0.05,0.4166666666666667
0.9,0.1,0.4166666666666667
0.9,0.15,0.4166666666666667
0.9,0.2,0.4166666666666667
0.9,0.25,0.4166666666666667
0.9,0.3,0.4166666666666667
0.9,0.35,0.4166666666666667
0.9,0.4,0.4166666666666667
0.9,0.45,0.5
0.9,0.5,0.5
0.9,0.55,0.5
0.9,0.6,0.5
0.95,0.0,0.5833333333333334
0.95,0.05,0.4166666666666667
0.95,0.1,0.4166666666666667
0.95,0.15,0.4166666666666667
0.95,0.2,0.4166666666666667
0.95,0.25,0.4166666666666667
0.95,0.3,0.4166666666666667
0.95,0.35,0.4166666666666667
0.95,0.4,0.4166666666666667
0.95,0.45,0.5
0.95,0.5,0.5
0.95,0.55,0.5
0.95,0.6,0.5
